10 1
1 0 -7.4360489542092516
1 1 2.2283933104903739
1 2 0.45269806611742058
1 3 0.24409353980906273
1 4 -2.1539380069617513
1 5 -2.1348034024793616
1 6 0.53677690367376085
1 7 -0.24943259513543264
1 8 5.3538182037584381
1 9 -0.19782824426207302
2 0 1 -6.3259061625162838
2 0 2 2.3695446815856003
2 0 3 -2.5777522088303515
2 0 4 0.33699533405450804
2 0 5 0.22949631713952884
2 0 6 0.78079721498364296
2 0 7 4.3661118820001965
2 0 8 1.1690091046335533
2 0 9 -1.9279532550709111
2 1 2 3.7184619748265773
2 1 3 0.7519764751719451
2 1 4 3.9143048313572653
2 1 5 4.0192980525912265
2 1 6 -3.9196790195906233
2 1 7 0.20257888330487886
2 1 8 4.702678871507298
2 1 9 0.89440552003985863
2 2 3 2.9986855918836914
2 2 4 -1.7373406978087671
2 2 5 7.0137561301865121
2 2 6 -2.4194272598141482
2 2 7 -0.60012891530274215
2 2 8 0.69616149491944312
2 2 9 -5.2328383440020376
2 3 4 -1.8201000876691511
2 3 5 -2.8142280729747466
2 3 6 1.2118199968961989
2 3 7 -3.4095032544545041
2 3 8 -0.92573156904289999
2 3 9 4.099708541568134
2 4 5 -1.9689365102809906
2 4 6 5.4161835297423906
2 4 7 4.4552536301120735
2 4 8 6.953539792163852
2 4 9 1.9727745004943753
2 5 6 0.7273046429400043
2 5 7 -0.96904462438809336
2 5 8 4.1205523595879479
2 5 9 0.37637209181300812
2 6 7 4.9163710518007413
2 6 8 0.60747781233490095
2 6 9 -4.0380374695864578
2 7 8 -4.1410286510307985
2 7 9 -6.5017763792296215
2 8 9 -8.1677365183120525
3 0 1 2 1.9296891575389954
3 0 1 3 -5.0173260105032043
3 0 1 4 10.897792444610612
3 0 1 5 -1.9538742529492452
3 0 1 6 -2.519763753018105
3 0 1 7 4.3405916664174251
3 0 1 8 1.5473272626815926
3 0 1 9 -2.0617950710374435
3 0 2 3 -8.0995180233726742
3 0 2 4 -6.7384027677590446
3 0 2 5 -3.979269686280976
3 0 2 6 -6.4019627405481039
3 0 2 7 -4.2557176705443718
3 0 2 8 5.1223766837392839
3 0 2 9 2.0364313490110701
3 0 3 4 1.8241511521029721
3 0 3 5 4.0257069203744811
3 0 3 6 -0.83337287567022678
3 0 3 7 -3.7084289743676755
3 0 3 8 -3.3864722694967955
3 0 3 9 -1.888002949645192
3 0 4 5 1.5128129891778626
3 0 4 6 -5.1327594886464301
3 0 4 7 -7.6844454077594619
3 0 4 8 1.527231956233158
3 0 4 9 3.1668141785630097
3 0 5 6 -1.5230632879753492
3 0 5 7 0.95634626076949591
3 0 5 8 -2.2013280037983809
3 0 5 9 3.3878358005194724
3 0 6 7 1.7327599111099956
3 0 6 8 3.2169432344075664
3 0 6 9 2.4490571207217995
3 0 7 8 -4.2164914936295546
3 0 7 9 -3.588529350327947
3 0 8 9 -1.3547723210141323
3 1 2 3 1.880880141928996
3 1 2 4 2.5753669735717661
3 1 2 5 -2.8503252405496671
3 1 2 6 -2.9337098972785376
3 1 2 7 -0.16922162138197594
3 1 2 8 -3.157666521939698
3 1 2 9 3.4758235593464009
3 1 3 4 5.6189132903310375
3 1 3 5 -1.4455154243201207
3 1 3 6 -2.4680267278917913
3 1 3 7 -2.9972288625123493
3 1 3 8 -1.2001438705630523
3 1 3 9 -1.3883591853213197
3 1 4 5 3.6850868602578428
3 1 4 6 -5.672616129099227
3 1 4 7 -0.75193226441273953
3 1 4 8 -4.3235136425553353
3 1 4 9 2.0222993528465834
3 1 5 6 -0.66871926937914117
3 1 5 7 2.598577056134586
3 1 5 8 0.34345124453784426
3 1 5 9 -0.1609331255157882
3 1 6 7 -0.18444452430390196
3 1 6 8 -0.11063108509763347
3 1 6 9 0.26014287152333215
3 1 7 8 2.877613475635187
3 1 7 9 -2.2079330182623922
3 1 8 9 -1.4461604307073481
3 2 3 4 -7.7737822284080664
3 2 3 5 2.0216928309064062
3 2 3 6 -2.737063785976602
3 2 3 7 -10.198627666854083
3 2 3 8 -7.0263716850005427
3 2 3 9 -0.080125709208343443
3 2 4 5 1.8569471311816792
3 2 4 6 1.87044741531989
3 2 4 7 -2.5661955896989888
3 2 4 8 0.3325957521946673
3 2 4 9 8.106149859121409
3 2 5 6 2.136926310190046
3 2 5 7 0.554138748831567
3 2 5 8 5.0468248312494346
3 2 5 9 1.7912994878208122
3 2 6 7 -0.021523022167141359
3 2 6 8 -1.7711496114441421
3 2 6 9 3.5719636523895666
3 2 7 8 -1.106035713110844
3 2 7 9 3.608810455167486
3 2 8 9 0.86808020418936516
3 3 4 5 5.9733496181117776
3 3 4 6 -2.026097982677177
3 3 4 7 3.4654005147992737
3 3 4 8 -2.860164545509615
3 3 4 9 -1.1221876401496007
3 3 5 6 -7.2294939207009774
3 3 5 7 -1.4674518927031275
3 3 5 8 -7.2303145522571226
3 3 5 9 6.3258549163798365
3 3 6 7 -1.4188793211584114
3 3 6 8 5.7620622484195581
3 3 6 9 -5.9617864639184575
3 3 7 8 -5.0556671939675324
3 3 7 9 -1.1624828137812111
3 3 8 9 -3.9669219195469072
3 4 5 6 1.2608808108552045
3 4 5 7 0.24737358854331026
3 4 5 8 -0.019735660871569249
3 4 5 9 4.09139673895758
3 4 6 7 4.3404638775348054
3 4 6 8 1.8465917180582663
3 4 6 9 -1.1218583903647819
3 4 7 8 6.1118507025576552
3 4 7 9 1.1015063538403669
3 4 8 9 0.60230433232234915
3 5 6 7 1.4559583435111494
3 5 6 8 -7.6023205863281742
3 5 6 9 -6.5025109132080088
3 5 7 8 -1.2684377760823231
3 5 7 9 0.13386117137941222
3 5 8 9 -6.3615985425926862
3 6 7 8 -5.7210531232719433
3 6 7 9 1.4412795408545196
3 6 8 9 -3.008406159321233
3 7 8 9 1.7611834536137772
